week_start_date,week_number,category,region,sales_amount,units_sold,avg_order_value,returns_amount
2025-02-03,5,Electronics,South,73036.99,739,98.83,1557.5
2025-02-03,5,Electronics,West,82896.29,705,117.58,2431.91
2025-02-03,5,Home & Garden,North,38831.53,385,100.86,857.89
2025-02-03,5,Home & Garden,South,32796.71,598,54.84,1799.25
2025-02-03,5,Home & Garden,West,35730.38,443,80.66,981.17
2025-02-03,5,Sports,North,37344.87,308,121.25,2048.57
2025-02-03,5,Sports,South,26376.0,234,112.72,374.72
2025-02-03,5,Sports,West,32597.71,526,61.97,1790.52
2025-02-10,6,Apparel,North,56023.71,707,79.24,2651.3
2025-02-10,6,Apparel,South,43451.84,380,114.35,1669.22
2025-02-10,6,Apparel,West,49962.51,911,54.84,1418.23
2025-02-10,6,Electronics,North,108797.06,2389,45.54,1962.74
2025-02-10,6,Electronics,South,72068.5,702,102.66,3213.88
2025-02-10,6,Electronics,West,82569.64,689,119.84,1805.17
2025-02-10,6,Home & Garden,North,34239.38,232,147.58,1015.36
2025-02-10,6,Home & Garden,South,25933.79,187,138.68,1077.73
2025-02-10,6,Home & Garden,West,35191.46,333,105.68,1218.54
2025-02-10,6,Sports,North,40660.25,620,65.58,1875.36
2025-02-10,6,Sports,South,22629.25,157,144.14,1305.63
2025-02-10,6,Sports,West,33573.75,238,141.07,957.12
2025-02-17,7,Apparel,North,58068.09,405,143.38,2601.54
2025-02-17,7,Apparel,South,35303.82,322,109.64,2100.67
2025-02-17,7,Apparel,West,49159.03,823,59.73,1765.62
2025-02-17,7,Electronics,North,112618.88,770,146.26,5929.44
2025-02-17,7,Electronics,South,79226.81,1043,75.96,2317.77
2025-02-17,7,Electronics,West,92452.28,1472,62.81,3498.4
2025-02-17,7,Home & Garden,North,40534.32,342,118.52,1829.08
2025-02-17,7,Home & Garden,South,31110.81,375,82.96,767.8
2025-02-17,7,Home & Garden,West,37828.73,278,136.07,2105.62
2025-02-17,7,Sports,North,37268.79,377,98.86,1307.23
2025-02-17,7,Sports,South,28132.01,236,119.2,1400.68
2025-02-17,7,Sports,West,36564.06,264,138.5,983.56
2025-02-24,8,Apparel,North,42790.42,325,131.66,1198.54
2025-02-24,8,Apparel,South,40100.93,318,126.1,833.74
2025-02-24,8,Apparel,West,42346.88,383,110.57,604.18
2025-02-24,8,Electronics,North,263082.42,2488,105.74,3103.61
2025-02-24,8,Electronics,South,78246.76,833,93.93,2905.48
2025-02-24,8,Electronics,West,106538.21,2210,48.21,1264.33
2025-02-24,8,Home & Garden,North,39376.49,386,102.01,1648.75
2025-02-24,8,Home & Garden,South,27075.11,223,121.41,1591.82
2025-02-24,8,Home & Garden,West,27174.78,211,128.79,639.74
2025-02-24,8,Sports,North,36163.87,397,91.09,503.5
2025-02-24,8,Sports,South,28136.96,319,88.2,525.17
2025-02-24,8,Sports,West,35793.35,582,61.5,805.79
2025-03-03,9,Apparel,North,59713.25,724,82.48,2859.81
2025-03-03,9,Apparel,South,41970.18,442,94.96,625.01
2025-03-03,9,Apparel,West,53230.29,550,96.78,1792.45
2025-03-03,9,Electronics,North,130306.11,1139,114.4,3126.92
2025-03-03,9,Electronics,South,84563.81,582,145.3,3965.61
2025-03-03,9,Electronics,West,123666.3,1388,89.1,2768.46
2025-03-03,9,Home & Garden,North,38026.89,437,87.02,1551.21
2025-03-03,9,Home & Garden,South,25007.67,223,112.14,306.72
2025-03-03,9,Home & Garden,West,42164.7,431,97.83,2227.33
2025-03-03,9,Sports,North,29317.34,256,114.52,532.01
2025-03-03,9,Sports,South,27199.87,569,47.8,1068.65
2025-03-03,9,Sports,West,30130.11,209,144.16,1168.26
2025-03-10,10,Apparel,North,49222.45,368,133.76,549.5
2025-03-10,10,Apparel,South,11171.49,194,57.59,500.89
2025-03-10,10,Apparel,West,53736.1,483,111.25,2894.96
2025-03-10,10,Electronics,North,128152.19,1376,93.13,4777.62
2025-03-10,10,Electronics,South,68752.45,477,144.14,2014.8
2025-03-10,10,Electronics,West,102017.7,1944,52.48,2647.24
2025-03-10,10,Home & Garden,North,43094.92,577,74.69,813.29
2025-03-10,10,Home & Garden,South,31673.67,255,124.21,1594.51
2025-03-10,10,Home & Garden,West,35902.54,427,84.08,1752.79
2025-03-10,10,Sports,North,35964.38,445,80.82,2033.35
2025-03-10,10,Sports,South,25903.99,209,123.94,1236.32
2025-03-10,10,Sports,West,36796.14,659,55.84,2028.48
2025-03-17,11,Apparel,North,52427.85,470,111.55,1699.83
2025-03-17,11,Apparel,South,35122.5,303,115.92,1672.49
2025-03-17,11,Apparel,West,41707.92,325,128.33,2063.75
2025-03-17,11,Electronics,North,124673.01,1586,78.61,6829.11
2025-03-17,11,Electronics,South,81044.25,943,85.94,854.36
2025-03-17,11,Electronics,West,102648.56,708,144.98,3969.61
2025-03-17,11,Home & Garden,North,39252.9,769,51.04,1471.06
2025-03-17,11,Home & Garden,South,26308.55,287,91.67,1430.8
2025-03-17,11,Home & Garden,West,32465.19,540,60.12,1560.78
2025-03-17,11,Sports,North,34137.06,310,110.12,513.97
2025-03-17,11,Sports,South,27412.62,520,52.72,1400.59
2025-03-17,11,Sports,West,30567.57,256,119.4,430.01
2025-03-24,12,Apparel,North,51951.05,580,89.57,2873.81
2025-03-24,12,Apparel,South,39896.27,863,46.23,1333.85
2025-03-24,12,Apparel,West,42993.96,844,50.94,685.36
2025-03-24,12,Electronics,North,89152.53,683,130.53,5114.01
2025-03-24,12,Electronics,South,67258.88,452,148.8,3206.16
2025-03-24,12,Electronics,West,90383.48,713,126.77,3427.36
2025-03-24,12,Home & Garden,North,40876.78,331,123.49,1601.08
2025-03-24,12,Home & Garden,South,26584.75,182,146.07,764.14
2025-03-24,12,Home & Garden,West,39060.89,570,68.53,2271.83
2025-03-24,12,Sports,North,33833.12,731,46.28,1979.03
2025-03-24,12,Sports,South,27375.22,518,52.85,1031.85
2025-03-24,12,Sports,West,53760.99,366,146.89,1943.72
2025-03-31,13,Apparel,North,48192.24,514,93.76,1333.36
2025-03-31,13,Apparel,South,36380.34,246,147.89,2157.74
2025-03-31,13,Apparel,West,49804.29,420,118.58,1833.04
2025-03-31,13,Electronics,North,126816.53,1367,92.77,5247.4
2025-03-31,13,Electronics,South,90331.03,849,106.4,4973.44
2025-03-31,13,Electronics,West,125024.43,1686,74.15,2426.23
2025-03-31,13,Home & Garden,North,43883.86,375,117.02,795.65
2025-03-31,13,Home & Garden,South,27498.19,195,141.02,1405.9
2025-03-31,13,Home & Garden,West,30388.03,212,143.34,1619.78
2025-03-31,13,Sports,North,43398.61,872,49.77,491.2
2025-03-31,13,Sports,South,30461.11,204,149.32,533.7
2025-03-31,13,Sports,West,30778.04,286,107.62,893.93
